actors,director,genre,imdb_rating,just_rating,opening_date,runtime,synopsis,title_kor
" Chris Rock , Jimmy Fallon , Dave Chappelle , Jeff Ross ", Chris Rock ,코미디 , 7.0 , 74% , 2021 ,1시간 37분,"In this extended cut of his 2018 special, Chris Rock takes the stage for a special filled with searing observations on fatherhood, infidelity and politics.",Chris Rock Total Blackout: The Tamborine Extended Cut
 Caitlyn Jenner , Crystal Moselle ,"다큐멘터리 ,스포츠 ", 6.2 (2k) , 70% , 2021 ,1시간 9분,"올림픽 챔피언이 되었다. 모든 걸 이룬 셈이다. 하지만 남아있는 장애물, 사라지지 않는 고민. 진정한 자아를 포용해야 한다. 케이틀린 제너가 자신의 삶에서 더욱 의미 있는 도전을 한다.",말하지 못한 이야기: 케이틀린 제너의 순간들
" Cecilia Suárez , Aislinn Derbez , Dario Yazbek Bernal , Juan Pablo Medina , Paco León , Norma Angélica , Angélica María , Isabel Burr , Ximena Sariñana , Luis de la Rosa , Tessa Ía , Andrea Chaparro , Javier Jattin , Tiago Correa , Emilio Cuaik ", Manolo Caro ,"드라마 ,코미디 ", 5.5 , 76% , 2021 ,1시간 26분,"병상에 누운 델리아, 옛 저택에 보물이 숨겨져 있다고 말한다. 반신반의하는 데 라 모라 가문 세 남매, 죽기 전 소원이라니 옛집에 몰래 잠입할 계획을 세우는데. 보물이 진짜 있긴 한 걸까.",꽃들의 집: 더 무비
" Tamar Novas , Verónica Forqué , Andrea Ros , Peter Vives , Fermí Reixach , Yan Huang , Daniel Barea Cabrera , Sergio Pozo , Natalia Agüero Avecilla ", Álvaro Fernández Armero ,"로맨스 ,가족 ,판타지 ,코미디 ", 5.7 (1k) , 68% , 2021 ,1시간 42분,본의 아니게 '크리스마스 정신'에 푹 빠져버리게 된 30대 남자 이야기. 크리스마스에 소중한 이와 함께 보고픈 로맨틱 코미디,크리스마스로부터 1000km
" Tony Blair , Nick Ross , Alan Fry , Mike Franklin , John Tyndall ", Daniel Vernon ,"범죄 ,역사 ,다큐멘터리 ", 6.3 (2k) , 72% , 2021 ,1시간 12분,"1999년 런던에서 못 폭탄이 터진다. 흑인과 아시아인, 게이를 향한 차별과 증오의 테러. 극우파 범인을 찾아라! 관련자들의 증언과 영상 자료를 통해, 당시의 수사 과정을 담은 다큐멘터리.",1999 런던 테러: 네일 보머의 진실
" Riccardo Scamarcio , Gaia Bermani Amaral , Valentina Cervi , Antonio Gerardi , Giovanni Cirfiera , Giuseppe Nardone ", Rocco Ricciardulli ,"드라마 ,로맨스 ", 5.6 (1k) , 65% , 2021 ,1시간 47분,"1950년대 이탈리아. 이곳에 뜨거운 열정을 품은 자유로운 영혼의 한 남자가 있다. 그가 꿈꾸는 것은 사랑과 정의, 더 나은 삶. 하지만 금지된 사랑이 그의 발목을 잡는다. 실화를 바탕으로 한 작품.",라스트 파라디소
" Jakub Zając , Cyprian Grabowski , Anna Smołowik , Michał Czernecki , Monika Krzywkowska , Cezary Żak , Piotr Rogucki , Elżbieta Jarosik , Witold Dębicki ", Michał Rogalski ,"판타지 ,코미디 ,가족 ", 5.2 , 66% , 2021 ,1시간 46분,모두 행복할 듯한 크리스마스. 하지만 엘프에겐 일 년 중 가장 바쁘고 힘든 시기일 뿐. 급기야 산타 마을에서 도망친 엘프가 특별한 친구를 만난다. 이제 진짜 메리 크리스마스를 경험해볼까?,다비트와 엘프의 크리스마스
" Mirai Moriyama , Sairi Ito , Masahiro Higashide , SUMIRE , Atsushi Shinohara , Yuko Oshima , Masato Hagiwara , Takehiro Hira , Moemi Katayama , Masanobu Takashima , LaSalle Ishii , Amane Okayama , Eita Okuno , Hideko Hara ", Yoshihiro Mori ,"로맨스 ,드라마 ", 6.6 , 71% , 2021 ,2시간 4분,페이스북에서 우연히 보게 된 옛사랑 그녀의 얼굴. 이 작은 우연이 막연히 살고 있는 40대의 나를 과거로 데려간다. 내가 지금보다는 조금 더 반짝였던 90년대 그 시절로.,우리는 모두 어른이 될 수 없었다
" Chen Kun , Zhou Xun , William Chan Wai-Ting , Qu Chuxiao , Wang Likun , Shen Yue , Wang Zixuan , Wu Xinzun , Liu Wenhuan , Wang Xiang ", Li Weiran ,"로맨스 ,드라마 ", 75% , 75% , 2021 ,1시간 53분,"요괴의 피가 흐르는 음양사 청명. 늘 정체성을 의심받다가, 결국 반역자로 몰려 사라진다. 그렇게 세월이 흐른 어느 날, 요괴 반란의 배후로 거론되며 다시 주목을 받는데. 청명은 그간 어디 있었나. 그는 정녕 악한 요괴에 불과했나.",시신령: 음양사
" Edmilson Filho , Matheus Nachtergaele , Leandro Ramos , Letícia Lima , Juliano Cazarré , Evelyn Castro , Falcão , Rossicléa , Victor Allen , Jéssica Tamochunas , Eyrio Okura , Renan Medeiros , Marianna Armellini , Emerson Ceará , Cristiane Wersom , Bolachinha , Rafael Portugal , Haroldo Guimarães ", Vitor Brandt ,"범죄 ,액션 ,코미디 ", 6.2 (1k) , 73% , 2021 ,1시간 37분,"마을의 마스코트 염소, 셀레스치나를 찾아라! 그동안 무시만 당하던 경찰 둘이 힘을 합쳐 최대 작전을 시작한다. 사라진 염소가 거대 범죄 조직으로 안내할 줄은 꿈에도 모른 채.",염소를 잡아라
 Dani Rovira , Mario Briongos ,코미디 , 6.7 , 78% , 2021 ,1시간 22분,"프로 불편러들이 난무하는 세상, 코미디언은 힘들다. 아무리 그래도 암 선고와 무지막지한 독극물 치료에서 살아 돌아온 그의 농담에 불편하기 없기 없기? 툭하면 화나고 분노하는 사람들, 대체 왜 그러는 건지 그가 미움의 근원을 파헤친다.",다니 로비라: 미움에 관하여
" Józef Pawłowski , Zofia Domalik , Szymon Bobrowski , Bartłomiej Topa , Janusz Chabior , Rafał Zawierucha , Antoni Pawlicki , Cezary Łukaszewicz , Danuta Stenka , Jan Frycz , Damian Majewski , Piotr Witkowski , Michal Krzyzkowiak , Michał Karmowski , Katarzyna Herman , Jerzy Schejbal , Dariusz Jakubowski , Mariusz Bonaszewski , Elżbieta Jarosik , Lech Dyblik , Bartosz Obuchowicz , Wojciech Majchrzak , Norbert Kaczorowski , Bartłomiej Krat , Roman Bugaj , Monika Miller , Eugenia Grabizna , Paweł Kowalczyk , Joanna Kocyla , Artur Grabowiec , Michał Pluskota , Paweł Jusiński , Maksymilian Michasiów , Barry Mulkerns , Michał Kubiak , Arkadiusz Jędraczka , Michał Zieliński ", Daniel Markowicz ,"스릴러 ,범죄 ,스포츠 ,액션 ", 5.1 (1k) , 66% , 2021 ,1시간 31분,시합에서 불명예 패배를 기록한 격투기 선수. 얼마 후 사고로 형을 잃고 형이 경영하던 클럽을 물려받는다. 그 비극이 사고가 아니었음을 알게 된 그는 곧 격랑에 휘말리는데.,바르트코비아크
" Carl Hart , Koe Rodriguez , Nelson George , Corey Pegues , Samson Styles , Felipe Luciano , Ronald Reagan , Nancy Reagan ", Stanley Nelson ,"다큐멘터리 ,범죄 ,역사 ", 6.7 (3k) , 75% , 2021 ,1시간 29분,"실업률이 치솟은 80년대 미국, 싸고 강력한 마약이 전국에 퍼진다. 그렇게 시작된 크랙의 시대. 흑인 사회, 나아가 미국은 어떻게 바뀌었을까? 그 복잡한 역사를 살펴본다.",크랙의 시대: 코카인에 물들다
" Kang In-soo , Lee Sang , Park Soo-bin , Baek Seo-bin ", Sung Do-joon ,"로맨스 ,드라마 ,음악 ", 6.5 , 80% , 2021 ,1시간 41분,"매력적인 음색의 실력파 버스커, 인수. 음반 기획사의 막내, 상이. 신인 발굴 프로젝트로 맺어진 둘의 하모니가 점점 더 설레는 그 무엇으로 변주된다. 음악에 빠졌지만, 서로에게도 빠져버린 두 남자의 아슬아슬 두근두근 멜로디.",위시유
" Michael J. Woodard , Mary Lambert , Annie Potts , Vincent Rodriguez III , Tony Hale , Jonathan van Ness , Haley Tju , Brett Gelman , Flea , Jennifer Coolidge , Phil LaMarr , Dee Bradley Baker , Fred Tatasciore ", Ryan Crego ,"가족 ,애니메이션 ,코미디 ", 6.6 (1k) , 74% , 2021 ,1시간 30분,나한테 아빠가 있다고? 낙천적인 악어소년 알로가 늪지대를 떠나 뉴욕으로 향한다. 그 길에서 만난 새로운 친구들과 모험을 즐기며! 가슴 따뜻한 뮤지컬 애니메이션.,악어소년 알로
" Konkona Sen Sharma , Shefali Shah , Aditi Rao Hydari , Abhishek Banerjee , Nushrratt Bharuccha , Inayat Verma , Jaideep Ahlawat , Fatima Sana Shaikh , Armaan Ralhan , Manav Kaul , Sara Arjun , Tota Roy Chowdhury , Shreedhar Dubey , Arvind Pandey , Abhay Joshi , Shabnamn Vadhera , Meenal Kapoor , Maneesh Verma , Gyan Prakash , Bachan Pachera , Anita Kanwal "," Neeraj Ghaywan , Raj Mehta , Kayoze Irani , Shashank Khaitan ","드라마 ,로맨스 ", 6.7 (5k) , 74% , 2021 ,2시간 22분,"관계가 망가지기 시작했다. 무엇이 사랑을 파국으로 몰아갔는가.
 외면하고 있던 불편한 감정에 불을 지핀 뜻밖의 요소. 그것이 진정한 원인이었는지는 당사자만이 알고 있다. 관계를 고찰하는 4가지 단편 이야기.",제삼자
